grid_size,n_robots,n_targets,n_failures,num_experiments,experiment_id,n_targets_found,t_targets,t_coverage,percent_coverage,mean_found,algorithm,algorithm_label,experiment,simulation_id,failure_time_mode,horizon,target_found_fraction,coverage_fraction,t_targets_horizon_fraction,t_coverage_horizon_fraction,num_simulations
50,5,15,0,10,1,15,335,349,100.0,0.5025787965616051,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.067,0.0698,
50,5,15,0,10,2,15,348,353,100.0,0.465722379603399,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0696,0.0706,
50,5,15,0,10,3,15,268,340,100.0,0.6211764705882362,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0536,0.068,
50,5,15,0,10,4,15,281,350,100.0,0.5984761904761908,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0562,0.07,
50,5,15,0,10,5,15,338,347,100.0,0.6384245917387128,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0676,0.0694,
50,5,15,0,10,6,15,359,364,100.0,0.5126373626373626,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0718,0.0728,
50,5,15,0,10,7,15,309,323,100.0,0.4078431372549017,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0618,0.0646,
50,5,15,0,10,8,15,291,349,100.0,0.5134670487106014,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0582,0.0698,
50,5,15,0,10,9,15,303,338,100.0,0.5706114398422092,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0606,0.0676,
50,5,15,0,10,10,15,312,362,100.0,0.6631675874769809,centralized,Centralized,E1,0,no_failure,5000.0,1.0,1.0,0.0624,0.0724,
100,10,30,0,10,1,30,569,644,100.0,0.5076086956521748,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0569,0.0644,
100,10,30,0,10,2,30,649,692,100.0,0.4991811175337158,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0649,0.0692,
100,10,30,0,10,3,30,619,736,100.0,0.5851902173913036,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0619,0.0736,
100,10,30,0,10,4,30,615,680,100.0,0.6004901960784291,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0615,0.068,
100,10,30,0,10,5,30,675,723,100.0,0.6266482249884688,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0675,0.0723,
100,10,30,0,10,6,30,628,692,100.0,0.6836223506743703,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0628,0.0692,
100,10,30,0,10,7,30,636,654,100.0,0.4176860346585118,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0636,0.0654,
100,10,30,0,10,8,30,597,659,100.0,0.5175518462316648,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0597,0.0659,
100,10,30,0,10,9,30,655,708,100.0,0.616101694915252,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0655,0.0708,
100,10,30,0,10,10,30,636,666,100.0,0.5892392392392347,centralized,Centralized,E1,0,no_failure,10000.0,1.0,1.0,0.0636,0.0666,
150,15,45,0,10,1,45,971,1064,100.0,0.6097953216374278,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.06473333333333334,0.07093333333333333,
150,15,45,0,10,2,45,686,1120,100.0,0.6826785714285718,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.045733333333333334,0.07466666666666667,
150,15,45,0,10,3,45,1051,1119,100.0,0.6339787508688277,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.07006666666666667,0.0746,
150,15,45,0,10,4,45,998,1162,100.0,0.630770701855038,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.06653333333333333,0.07746666666666667,
150,15,45,0,10,5,45,782,1000,100.0,0.705133333333333,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.05213333333333333,0.06666666666666667,
150,15,45,0,10,6,45,994,1037,100.0,0.6342655094824771,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.06626666666666667,0.06913333333333334,
150,15,45,0,10,7,45,888,1030,100.0,0.5933764832793952,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.0592,0.06866666666666667,
150,15,45,0,10,8,45,922,1183,100.0,0.6393350239504094,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.06146666666666667,0.07886666666666667,
150,15,45,0,10,9,45,940,976,100.0,0.5812158469945338,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.06266666666666666,0.06506666666666666,
150,15,45,0,10,10,45,818,1056,100.0,0.6632365319865322,centralized,Centralized,E1,0,no_failure,15000.0,1.0,1.0,0.054533333333333336,0.0704,
200,20,60,0,10,1,60,1354,1357,100.0,0.589314664701551,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.0677,0.06785,
200,20,60,0,10,2,60,1297,1453,100.0,0.5894815324615755,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.06485,0.07265,
200,20,60,0,10,3,60,1237,1388,100.0,0.6062680115273802,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.06185,0.0694,
200,20,60,0,10,4,60,1240,1451,100.0,0.6058235699517589,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.062,0.07255,
200,20,60,0,10,5,60,1284,1395,100.0,0.5148148148148146,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.0642,0.06975,
200,20,60,0,10,6,60,1322,1362,100.0,0.6357317670093037,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.0661,0.0681,
200,20,60,0,10,7,60,1296,1491,100.0,0.6672814665772394,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.0648,0.07455,
200,20,60,0,10,8,60,1333,1464,100.0,0.6485997267759536,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.06665,0.0732,
200,20,60,0,10,9,60,1269,1460,100.0,0.6460045662100465,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.06345,0.073,
200,20,60,0,10,10,60,1412,1470,100.0,0.6157482993197312,centralized,Centralized,E1,0,no_failure,20000.0,1.0,1.0,0.0706,0.0735,
250,25,75,0,10,1,75,1586,1869,100.0,0.6618441234171552,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06344,0.07476,
250,25,75,0,10,2,75,1567,1888,100.0,0.6450706214689237,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06268,0.07552,
250,25,75,0,10,3,75,1572,1807,100.0,0.6448994650433585,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06288,0.07228,
250,25,75,0,10,4,75,1477,1811,100.0,0.62065157371618,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.05908,0.07244,
250,25,75,0,10,5,75,1786,1958,100.0,0.589329247531499,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.07144,0.07832,
250,25,75,0,10,6,75,1649,1809,100.0,0.531534918002584,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06596,0.07236,
250,25,75,0,10,7,75,1606,2027,100.0,0.6596743956586103,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06424,0.08108,
250,25,75,0,10,8,75,1589,1906,100.0,0.6535921650926935,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06356,0.07624,
250,25,75,0,10,9,75,1740,1825,100.0,0.6058447488584502,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.0696,0.073,
250,25,75,0,10,10,75,1633,1898,100.0,0.6717175974710264,centralized,Centralized,E1,0,no_failure,25000.0,1.0,1.0,0.06532,0.07592,
300,30,90,0,10,1,90,2033,2083,100.0,0.5648477089667701,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06776666666666667,0.06943333333333333,
300,30,90,0,10,2,90,2225,2287,100.0,0.6185638633824093,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.07416666666666667,0.07623333333333333,
300,30,90,0,10,3,90,2212,2337,100.0,0.6264726857794846,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.07373333333333333,0.0779,
300,30,90,0,10,4,90,1867,2247,100.0,0.6553478712357191,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.062233333333333335,0.0749,
300,30,90,0,10,5,90,1841,2136,100.0,0.5687682064086551,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06136666666666667,0.0712,
300,30,90,0,10,6,90,2062,2121,100.0,0.5848761066582807,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06873333333333333,0.0707,
300,30,90,0,10,7,90,1969,2133,100.0,0.6225243527634481,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06563333333333334,0.0711,
300,30,90,0,10,8,90,2185,2287,100.0,0.5870281300101988,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.07283333333333333,0.07623333333333333,
300,30,90,0,10,9,90,1921,2162,100.0,0.6643437146674879,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06403333333333333,0.07206666666666667,
300,30,90,0,10,10,90,1859,2045,100.0,0.5640369464819344,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06196666666666667,0.06816666666666667,
350,35,105,0,10,1,105,2069,2529,100.0,0.5759400478261704,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.059114285714285716,0.07225714285714285,
350,35,105,0,10,2,105,2124,2330,100.0,0.6133946454118154,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06068571428571429,0.06657142857142857,
350,35,105,0,10,3,105,2391,2470,100.0,0.5966724503566595,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06831428571428572,0.07057142857142858,
