algorithm,failure_time_mode,grid_size,runs,delta_t_targets_mean,delta_t_targets_ci95,delta_t_coverage_mean,delta_t_coverage_ci95,delta_mean_found_mean,delta_mean_found_ci95,delta_target_found_fraction_mean,delta_target_found_fraction_ci95,delta_coverage_fraction_mean,delta_coverage_fraction_ci95
centralized,early,50,10,107.6,37.044864187450685,135.2,22.409999990083794,0.09197340849797134,0.03327071945362958,0.0,0.0,0.0,0.0
centralized,early,100,10,320.0,74.77456370837463,371.2,34.12101746561624,0.1135746772332417,0.020899733292097288,0.0,0.0,0.0,0.0
centralized,early,150,10,488.8,85.63542834857805,591.5,90.68316090163107,0.09533959013700413,0.015870430892949577,0.0,0.0,0.0,0.0
centralized,early,200,10,580.1,133.0692454593138,731.9,93.73748809189297,0.09663192722369945,0.01710057102273389,0.0,0.0,0.0,0.0
centralized,early,250,10,585.5,162.84842820515303,747.3,105.56946865874093,0.07036183072855555,0.01443280727924147,0.0,0.0,0.0,0.0
centralized,early,300,10,599.6,156.3284007978077,734.2,93.58406508232761,0.07624396749539003,0.012563101098080474,0.0,0.0,0.0,0.0
centralized,early,350,10,889.1,162.41463255917964,1129.9,131.38318910897408,0.09616907388026733,0.015690212994967725,0.0,0.0,0.0,0.0
centralized,early,400,10,1124.7,150.96497713634702,1242.7,139.15541432194118,0.07952463148399623,0.016851415656975354,0.0,0.0,0.0,0.0
centralized,early,450,10,1509.4,195.78585101074077,1666.2,112.99826386866893,0.09889730081180992,0.010887094790175652,0.0,0.0,0.0,0.0
centralized,early,500,10,1330.8,318.3359945606039,1510.2,215.91610039704463,0.07458964196066836,0.01333377566096106,0.0,0.0,0.0,0.0
centralized,late,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,100,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,150,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,200,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,250,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,300,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,350,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,400,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,450,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,late,500,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,middle,50,10,11.9,15.702985929787719,16.0,14.986845787778915,0.016296151439344365,0.015415950981136805,0.0,0.0,0.0,0.0
centralized,middle,100,10,22.5,33.43541449155703,53.1,26.669207512285276,0.028822571348684684,0.014371887238175018,0.0,0.0,0.0,0.0
centralized,middle,150,10,40.7,34.24619780355185,99.9,62.9017512421819,0.027362591907302912,0.01705318054891253,0.0,0.0,0.0,0.0
centralized,middle,200,10,44.4,36.68360491191307,99.3,48.500969080810926,0.023348121682288003,0.011692968789371677,0.0,0.0,0.0,0.0
centralized,middle,250,10,6.7,13.131999999999998,117.6,59.21175534938611,0.021209888685527735,0.010996607826886056,0.0,0.0,0.0,0.0
centralized,middle,300,10,0.0,0.0,58.8,55.59693926027862,0.009449660443987018,0.00865385151663657,0.0,0.0,0.0,0.0
centralized,middle,350,10,76.3,95.060359220398,111.7,95.05901213690602,0.01485146246574116,0.012905753943563388,0.0,0.0,0.0,0.0
centralized,middle,400,10,135.6,125.0389199071855,117.5,89.60401761825933,0.012819608809210247,0.009762002979926377,0.0,0.0,0.0,0.0
centralized,middle,450,10,90.9,92.11233112286806,332.7,101.51296885729536,0.03466213408537925,0.008625859159988042,0.0,0.0,0.0,0.0
centralized,middle,500,10,76.1,80.87804887194876,276.6,187.1168109746779,0.022437016308523128,0.01402796123392039,0.0,0.0,0.0,0.0
centralized,mixed,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,mixed,100,10,19.5,36.06642624688815,62.6,29.311594490159614,0.0335063992711987,0.01666482267247675,0.0,0.0,0.0,0.0
centralized,mixed,150,10,366.4,126.89314422598075,492.7,118.28908078469834,0.0920710287567041,0.020569690217919684,0.0,0.0,0.0,0.0
centralized,mixed,200,10,215.4,147.88851947929484,457.2,90.71542155799332,0.08219327246699967,0.019590017495932005,0.0,0.0,0.0,0.0
centralized,mixed,250,10,260.5,166.14826730630952,400.5,160.17416390361532,0.05431739919372688,0.01877296985696251,0.0,0.0,0.0,0.0
centralized,mixed,300,10,0.0,0.0,21.9,29.122035612611665,0.0035777602308730396,0.004746012482891076,0.0,0.0,0.0,0.0
centralized,mixed,350,10,325.3,170.21861207021726,653.5,221.96806499033943,0.07421404019073266,0.02099546700351299,0.0,0.0,0.0,0.0
centralized,mixed,400,10,336.9,170.55415264627507,610.5,183.90729889448832,0.05696933356229984,0.020205980771940732,0.0,0.0,0.0,0.0
centralized,mixed,450,10,791.2,328.3333540602362,1095.4,220.7663894064392,0.0893589837524219,0.01586495860032201,0.0,0.0,0.0,0.0
centralized,mixed,500,10,242.7,246.11354568708052,352.0,201.330579230611,0.027145966675664247,0.015640452340455472,0.0,0.0,0.0,0.0
