algorithm,failure_time_mode,runs,delta_t_targets_mean,delta_t_targets_ci95,delta_t_coverage_mean,delta_t_coverage_ci95,pct_change_t_targets_mean,pct_change_t_targets_ci95,pct_change_t_coverage_mean,pct_change_t_coverage_ci95,delta_mean_found_mean,delta_mean_found_ci95,delta_target_found_fraction_mean,delta_target_found_fraction_ci95,delta_coverage_fraction_mean,delta_coverage_fraction_ci95
centralized,early,100,753.56,97.59842780373052,886.03,98.13571800701888,42.318039804751876,3.245364506907337,45.33704900033942,2.342692590570152,0.08933060494526039,0.006024340197039904,0.0,0.0,0.0,0.0
centralized,late,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centralized,middle,100,50.51,21.540508086970664,128.32,32.22415286834433,2.8726686025572774,1.100759792486799,6.344104944196455,1.2623065442094483,0.021125920717598844,0.004087615693278055,0.0,0.0,0.0,0.0
centralized,mixed,100,255.79,67.8391716651712,414.63,77.32741617624725,13.895345136211512,3.560456748669053,20.06061296044227,3.5094792127183205,0.05133541841006212,0.008124855246819274,0.0,0.0,0.0,0.0
stigmergy_random_walk,early,1000,3605.106,463.4203944295998,689.969,90.33784509195733,35.76613517532486,3.7504266690218904,8.79748343083921,1.4375692041959427,-0.013206069623465209,0.002002837312622086,-0.0006282275132275133,0.000437161343089983,-0.0009471531282438904,0.00017609141453049076
stigmergy_random_walk,late,1000,3549.928,483.08355483305957,616.146,89.32577456304615,31.499518873121232,3.4309020230686125,7.029772260758491,1.2562780311625634,-0.003991387406098559,0.0015297595215809183,-0.0005903174603174607,0.00044354377558918475,-0.0008087662597001767,0.0001784111442963538
stigmergy_random_walk,middle,1000,3542.577,466.45983723986546,680.198,87.98973137714273,36.16714490528112,3.8474162801655463,7.9740704135899,1.3501948214355488,-0.00835424494938854,0.0018572306883915402,-0.0008801851851851856,0.0005117346870618216,-0.0007699199892290255,0.00012911119854222612
stigmergy_random_walk,mixed,1000,3395.067,465.32075948349063,660.636,89.26325861236674,32.43960896675038,3.4381367594388355,7.955122086223567,1.3340684707935093,-0.007142001478013578,0.0017963391094265625,-0.0004766137566137568,0.00042837443179377275,-0.0009455505973167056,0.00019233658098580342
stigmergy_search,early,1000,567.518,62.943137117407026,899.02,85.34014793069082,22.26177457480036,2.0389056562241046,28.82717196335041,2.2215459934485224,0.02902661941806997,0.0035121453211414302,0.0,0.0,0.0,0.0
stigmergy_search,late,1000,170.131,48.29018189373937,369.202,80.61172873155645,3.986972014816394,1.0577955555289453,8.693449878486348,1.637575985930371,0.01236194825200376,0.0021584660972861,0.0,0.0,0.0,0.0
stigmergy_search,middle,1000,513.895,70.06571078594651,972.159,104.26574985228068,15.758868068217057,1.8663823295222173,27.30460376696626,2.3547184758212385,0.039394234861870464,0.0033285357839680364,0.0,0.0,0.0,0.0
stigmergy_search,mixed,1000,362.302,64.64877148688811,737.85,92.72450090260091,12.549835455502697,1.8038324055702655,20.989843475353585,2.17109256814941,0.027738380714145736,0.003319998816175507,0.0,0.0,0.0,0.0
