failure_time_mode,algorithm,runs,delta_t_targets_mean,delta_t_targets_ci95,pct_change_t_targets_mean,pct_change_t_targets_ci95
early,centralized,100,753.56,97.59842780373052,42.318039804751876,3.245364506907337
early,stigmergy_random_walk,1000,3605.106,463.4203944295998,35.76613517532486,3.7504266690218904
early,stigmergy_search,1000,567.518,62.943137117407026,22.26177457480036,2.0389056562241046
late,centralized,100,0.0,0.0,0.0,0.0
late,stigmergy_random_walk,1000,3549.928,483.08355483305957,31.499518873121232,3.4309020230686125
late,stigmergy_search,1000,170.131,48.29018189373937,3.986972014816394,1.0577955555289453
middle,centralized,100,50.51,21.540508086970664,2.8726686025572774,1.100759792486799
middle,stigmergy_random_walk,1000,3542.577,466.45983723986546,36.16714490528112,3.8474162801655463
middle,stigmergy_search,1000,513.895,70.06571078594651,15.758868068217057,1.8663823295222173
mixed,centralized,100,255.79,67.8391716651712,13.895345136211512,3.560456748669053
mixed,stigmergy_random_walk,1000,3395.067,465.32075948349063,32.43960896675038,3.4381367594388355
mixed,stigmergy_search,1000,362.302,64.64877148688811,12.549835455502697,1.8038324055702655
