experiment,algorithm,grid_size,runs,t_targets_mean,t_targets_ci95,t_coverage_mean,t_coverage_ci95,mean_found_mean,mean_found_ci95,target_found_fraction_mean,target_found_fraction_ci95,percent_coverage_mean,percent_coverage_ci95,t_targets_horizon_fraction_mean,t_targets_horizon_fraction_ci95,t_coverage_horizon_fraction_mean,t_coverage_horizon_fraction_ci95
E1,centralized,50,10,314.4,18.571682338681352,347.5,7.36414195046963,0.54941050048902,0.05092392126219008,1.0,0.0,100.0,0.0,0.06288,0.0037143364677362702,0.06949999999999999,0.0014728283900939266
E1,centralized,100,10,627.9,18.707364634163614,685.4,18.906522989581017,0.5643319617363126,0.04814851451691293,1.0,0.0,100.0,0.0,0.06279,0.0018707364634163624,0.06854,0.0018906522989581014
E1,centralized,150,10,905.0,69.97196949890402,1074.7,42.62723388216087,0.6373786074816545,0.02376503436184818,1.0,0.0,100.0,0.0,0.06033333333333333,0.004664797966593601,0.07164666666666666,0.002841815592144059
E1,centralized,200,10,1304.4,33.088866311461594,1429.1,30.139067566495445,0.6119068419349354,0.026672264972425426,1.0,0.0,100.0,0.0,0.06522000000000001,0.0016544433155730783,0.07145499999999999,0.0015069533783247735
E1,centralized,250,10,1620.5,54.98819889556101,1879.8,44.80628400372231,0.6284158856260481,0.026647624939627124,1.0,0.0,100.0,0.0,0.06482000000000002,0.0021995279558224405,0.075192,0.0017922513601488928
E1,centralized,300,10,2017.4,92.79918700793306,2183.8,61.105215722100546,0.6056809586354388,0.02294584929143768,1.0,0.0,100.0,0.0,0.06724666666666668,0.003093306233597769,0.07279333333333333,0.002036840524070018
E1,centralized,350,10,2280.7,81.92917224041753,2493.6,47.454852162637465,0.6030356317812435,0.020256792131303786,1.0,0.0,100.0,0.0,0.06516285714285716,0.0023408334925833574,0.07124571428571429,0.0013558529189324974
E1,centralized,400,10,2733.0,117.00030799579595,2985.0,114.75554044237785,0.6101378268085812,0.02163523914298177,1.0,0.0,100.0,0.0,0.068325,0.0029250076998948984,0.074625,0.0028688885110594456
E1,centralized,450,10,2961.4,85.53687915747219,3227.5,117.57903702049386,0.6126858762069073,0.01928912626140058,1.0,0.0,100.0,0.0,0.06580888888888889,0.0019008195368327152,0.07172222222222221,0.002612867489344308
E1,centralized,500,10,3413.3,142.07170109021243,3784.0,93.46275293755617,0.6338793676508643,0.01628096543324829,1.0,0.0,100.0,0.0,0.068266,0.002841434021804249,0.07568,0.001869255058751122
E1,stigmergy_random_walk,50,100,1494.3,159.53522322172003,3131.21,175.36974750916616,0.8523137254545387,0.010975118369289287,0.998,0.0029099663104872183,99.98440000000001,0.02203147230576278,0.29886,0.03190704464434401,0.6262420000000001,0.03507394950183323
E1,stigmergy_random_walk,100,100,4010.11,332.2436719281336,7995.46,297.4082286596643,0.8794121254202447,0.00653954770287282,0.9996666666666667,0.0006533333333333332,99.99279999999999,0.0041980046438633,0.40101099999999995,0.03322436719281336,0.7995459999999999,0.029740822865966434
E1,stigmergy_random_walk,150,100,6744.94,425.27313443197704,13215.02,356.4810954247446,0.8896120585723963,0.004870257165872963,1.0,0.0,99.98782222222222,0.00655704202500788,0.4496626666666666,0.028351542295465135,0.8810013333333334,0.023765406361649637
E1,stigmergy_random_walk,200,100,10043.94,625.0163196632842,18877.71,318.281351347658,0.8944580144105099,0.0038811417246965535,0.9996666666666667,0.00045963729417854783,99.98064999999998,0.00904524604419341,0.502197,0.03125081598316421,0.9438854999999999,0.015914067567382898
