experiment,algorithm,grid_size,runs,t_targets_mean,t_targets_ci95
E1,centralized,50,10,314.4,18.571682338681352
E1,centralized,100,10,627.9,18.707364634163614
E1,centralized,150,10,905.0,69.97196949890402
E1,centralized,200,10,1304.4,33.088866311461594
E1,centralized,250,10,1620.5,54.98819889556101
E1,centralized,300,10,2017.4,92.79918700793306
E1,centralized,350,10,2280.7,81.92917224041753
E1,centralized,400,10,2733.0,117.00030799579595
E1,centralized,450,10,2961.4,85.53687915747219
E1,centralized,500,10,3413.3,142.07170109021243
E1,stigmergy_random_walk,50,100,1494.3,159.53522322172003
E1,stigmergy_random_walk,100,100,4010.11,332.2436719281336
E1,stigmergy_random_walk,150,100,6744.94,425.27313443197704
E1,stigmergy_random_walk,200,100,10043.94,625.0163196632842
E1,stigmergy_random_walk,250,100,13299.86,775.5420150222254
E1,stigmergy_random_walk,300,100,16778.69,1149.0920507542678
E1,stigmergy_random_walk,350,100,19806.68,1206.7487455518449
E1,stigmergy_random_walk,400,100,23134.25,1410.5105658516964
E1,stigmergy_random_walk,450,100,25582.82,1247.4577514977248
E1,stigmergy_random_walk,500,100,31159.1,1530.386185102151
E1,stigmergy_search,50,100,362.14,17.028123760248615
E1,stigmergy_search,100,100,831.62,37.04895733384205
E1,stigmergy_search,150,100,1368.4,53.66397004028726
E1,stigmergy_search,200,100,1870.66,82.75827407570982
E1,stigmergy_search,250,100,2544.88,112.20559042775908
E1,stigmergy_search,300,100,3021.46,108.18401746133831
E1,stigmergy_search,350,100,3774.11,173.28608743785986
E1,stigmergy_search,400,100,4446.71,180.11263313426963
E1,stigmergy_search,450,100,4995.46,183.0205058784795
E1,stigmergy_search,500,100,5480.99,213.20452643819678
E2,centralized,50,40,344.275,19.897891087196868
E2,centralized,100,40,718.4,46.60599164298128
E2,centralized,150,40,1128.975,85.3480328824129
E2,centralized,200,40,1514.375,83.68763003513382
E2,centralized,250,40,1833.675,94.97935833386545
E2,centralized,300,40,2167.3,96.13641826765408
E2,centralized,350,40,2603.375,131.5063919022716
E2,centralized,400,40,3132.3,158.88255662079138
E2,centralized,450,40,3559.275,210.84591498198333
E2,centralized,500,40,3825.7,193.19791606456914
E2,stigmergy_random_walk,50,400,1750.3425,78.15109384271474
E2,stigmergy_random_walk,100,400,4843.005,175.4039763134414
E2,stigmergy_random_walk,150,400,8044.305,253.993555968674
E2,stigmergy_random_walk,200,400,11993.4425,357.2484703744285
E2,stigmergy_random_walk,250,400,16299.175,472.2072250147044
E2,stigmergy_random_walk,300,400,19973.7875,523.5668451750605
E2,stigmergy_random_walk,350,400,24109.6025,591.838768925394
E2,stigmergy_random_walk,400,400,29092.4475,698.4197905555858
E2,stigmergy_random_walk,450,400,33166.02,754.3473651394631
E2,stigmergy_random_walk,500,400,38014.2575,785.2509378962447
E2,stigmergy_search,50,400,375.7275,9.562440527662785
E2,stigmergy_search,100,400,918.1825,26.579354704696467
E2,stigmergy_search,150,400,1517.305,39.84841293453735
E2,stigmergy_search,200,400,2157.9775,57.668904558265645
E2,stigmergy_search,250,400,2772.9025,71.64711438845569
E2,stigmergy_search,300,400,3301.3575,76.15772928115655
E2,stigmergy_search,350,400,4304.7375,125.79967134117739
E2,stigmergy_search,400,400,5118.8375,126.99036558678
E2,stigmergy_search,450,400,5729.8275,150.08219824878947
E2,stigmergy_search,500,400,6534.19,184.8944632125913
