grid_size,n_robots,n_targets,n_failures,num_experiments,experiment_id,n_targets_found,t_targets_e2,t_coverage_e2,percent_coverage,mean_found_e2,algorithm,algorithm_label,experiment,simulation_id,failure_time_mode,horizon,target_found_fraction_e2,coverage_fraction_e2,t_targets_horizon_fraction_e2,t_coverage_horizon_fraction_e2,num_simulations,t_targets_e1,t_coverage_e1,t_targets_horizon_fraction_e1,t_coverage_horizon_fraction_e1,target_found_fraction_e1,coverage_fraction_e1,mean_found_e1,delta_t_targets,pct_change_t_targets,delta_t_coverage,pct_change_t_coverage,delta_t_targets_horizon_fraction,pct_change_t_targets_horizon_fraction,delta_t_coverage_horizon_fraction,pct_change_t_coverage_horizon_fraction,delta_target_found_fraction,delta_coverage_fraction,delta_mean_found
50,5,15,1,10,1,15,335,349,100.0,0.5025787965616051,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.067,0.0698,,335,349,0.067,0.0698,1.0,1.0,0.5025787965616051,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,2,15,348,353,100.0,0.465722379603399,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0696,0.0706,,348,353,0.0696,0.0706,1.0,1.0,0.465722379603399,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,3,15,268,340,100.0,0.6211764705882362,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0536,0.068,,268,340,0.0536,0.068,1.0,1.0,0.6211764705882362,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,4,15,281,350,100.0,0.5984761904761908,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0562,0.07,,281,350,0.0562,0.07,1.0,1.0,0.5984761904761908,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,5,15,338,347,100.0,0.6384245917387128,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0676,0.0694,,338,347,0.0676,0.0694,1.0,1.0,0.6384245917387128,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,6,15,359,364,100.0,0.5126373626373626,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0718,0.0728,,359,364,0.0718,0.0728,1.0,1.0,0.5126373626373626,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,7,15,309,323,100.0,0.4078431372549017,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0618,0.0646,,309,323,0.0618,0.0646,1.0,1.0,0.4078431372549017,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,8,15,291,349,100.0,0.5134670487106014,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0582,0.0698,,291,349,0.0582,0.0698,1.0,1.0,0.5134670487106014,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,9,15,303,338,100.0,0.5706114398422092,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0606,0.0676,,303,338,0.0606,0.0676,1.0,1.0,0.5706114398422092,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,10,15,312,362,100.0,0.6631675874769809,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0624,0.0724,,312,362,0.0624,0.0724,1.0,1.0,0.6631675874769809,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,1,15,453,489,100.0,0.5983640081799605,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0906,0.0978,,335,349,0.067,0.0698,1.0,1.0,0.5025787965616051,118,35.223880597014926,140,40.114613180515754,0.023599999999999996,35.22388059701492,0.027999999999999997,40.114613180515754,0.0,0.0,0.0957852116183554
50,5,15,1,10,2,15,481,485,100.0,0.5745704467353966,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0962,0.097,,348,353,0.0696,0.0706,1.0,1.0,0.465722379603399,133,38.2183908045977,132,37.39376770538244,0.0266,38.2183908045977,0.026400000000000007,37.393767705382444,0.0,0.0,0.10884806713199757
50,5,15,1,10,3,15,398,431,100.0,0.6782675947409144,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0796,0.0862,,268,340,0.0536,0.068,1.0,1.0,0.6211764705882362,130,48.507462686567166,91,26.764705882352942,0.026000000000000002,48.507462686567166,0.018199999999999994,26.764705882352928,0.0,0.0,0.05709112415267814
50,5,15,1,10,4,15,420,489,100.0,0.6747102931152024,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.084,0.0978,,281,350,0.0562,0.07,1.0,1.0,0.5984761904761908,139,49.46619217081851,139,39.714285714285715,0.027800000000000005,49.466192170818516,0.02779999999999999,39.714285714285694,0.0,0.0,0.07623410263901154
50,5,15,1,10,5,15,338,456,100.0,0.7042397660818723,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0676,0.0912,,338,347,0.0676,0.0694,1.0,1.0,0.6384245917387128,0,0.0,109,31.412103746397698,0.0,0.0,0.0218,31.41210374639769,0.0,0.0,0.06581517434315953
50,5,15,1,10,6,15,534,536,100.0,0.6022388059701504,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.1068,0.1072,,359,364,0.0718,0.0728,1.0,1.0,0.5126373626373626,175,48.74651810584958,172,47.25274725274725,0.035,48.74651810584958,0.0344,47.25274725274725,0.0,0.0,0.08960144333278786
50,5,15,1,10,7,15,309,533,100.0,0.6411507191994995,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0618,0.1066,,309,323,0.0618,0.0646,1.0,1.0,0.4078431372549017,0,0.0,210,65.01547987616098,0.0,0.0,0.041999999999999996,65.01547987616098,0.0,0.0,0.23330758194459783
50,5,15,1,10,8,15,397,457,100.0,0.604668125455872,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0794,0.0914,,291,349,0.0582,0.0698,1.0,1.0,0.5134670487106014,106,36.42611683848797,108,30.945558739255013,0.021199999999999997,36.426116838487964,0.021599999999999994,30.94555873925501,0.0,0.0,0.09120107674527056
50,5,15,1,10,9,15,426,439,100.0,0.613363705391042,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0852,0.0878,,303,338,0.0606,0.0676,1.0,1.0,0.5706114398422092,123,40.5940594059406,101,29.88165680473373,0.024599999999999997,40.594059405940584,0.02020000000000001,29.881656804733748,0.0,0.0,0.042752265548832824
50,5,15,1,10,10,15,464,512,100.0,0.722265625000003,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0928,0.1024,,312,362,0.0624,0.0724,1.0,1.0,0.6631675874769809,152,48.717948717948715,150,41.43646408839779,0.030399999999999996,48.717948717948715,0.03,41.436464088397784,0.0,0.0,0.05909803752302212
50,5,15,1,10,1,15,335,349,100.0,0.5025787965616051,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.067,0.0698,,335,349,0.067,0.0698,1.0,1.0,0.5025787965616051,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,2,15,400,404,100.0,0.5245874587458746,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.08,0.0808,,348,353,0.0696,0.0706,1.0,1.0,0.465722379603399,52,14.942528735632186,51,14.44759206798867,0.010400000000000006,14.942528735632193,0.0102,14.447592067988671,0.0,0.0,0.05886507914247563
50,5,15,1,10,3,15,268,340,100.0,0.6211764705882362,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0536,0.068,,268,340,0.0536,0.068,1.0,1.0,0.6211764705882362,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,15,1,10,4,15,281,365,100.0,0.6149771689497721,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0562,0.073,,281,350,0.0562,0.07,1.0,1.0,0.5984761904761908,0,0.0,15,4.285714285714286,0.0,0.0,0.002999999999999989,4.285714285714269,0.0,0.0,0.01650097847358123
