grid_size,n_search_robots,target_x,target_y,requested_distance_shell,spawn_position_id,search_starts,search_start_distances,actual_min_start_distance,actual_mean_start_distance,algorithm_seed,max_horizon,found,found_robot_id,steps_to_target,optimal_manhattan_steps,excess_steps_over_optimal,slowdown_ratio,path_efficiency,time_to_attractive_detection,time_from_detection_to_target,post_detection_path_efficiency,convergence_rate,stagnation_count,mode_switch_step,success_rate,steps_per_start_distance,detection_fraction_of_total_time
50,1,25,25,20,1,"6,24",20,20,20,543201,12500,1,1,491,20,471,24.55,0.04073319755600815,463,28,1.071428571428571,1.035714285714286,236,463,1.0,24.55,0.9429735234215886
50,1,25,25,20,1,"6,24",20,20,20,543202,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,1,25,25,20,1,"6,24",20,20,20,543203,12500,1,1,449,20,429,22.45,0.044543429844098,410,39,0.4871794871794872,0.4615384615384616,215,410,1.0,22.45,0.9131403118040089
50,1,25,25,20,1,"6,24",20,20,20,543204,12500,1,1,585,20,565,29.25,0.03418803418803419,555,30,1.066666666666667,1.033333333333333,283,555,1.0,29.25,0.9487179487179487
50,1,25,25,20,1,"6,24",20,20,20,543205,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,1,25,25,20,1,"6,24",20,20,20,543206,12500,1,1,465,20,445,23.25,0.04301075268817205,437,28,1.071428571428571,1.035714285714286,223,437,1.0,23.25,0.9397849462365592
50,1,25,25,20,1,"6,24",20,20,20,543207,12500,1,1,495,20,475,24.75,0.04040404040404041,467,28,1.071428571428571,1.035714285714286,238,467,1.0,24.75,0.9434343434343434
50,1,25,25,20,1,"6,24",20,20,20,543208,12500,1,1,427,20,407,21.35,0.0468384074941452,399,28,1.071428571428571,1.035714285714286,204,399,1.0,21.35,0.9344262295081968
50,1,25,25,20,1,"6,24",20,20,20,543209,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,1,25,25,20,1,"6,24",20,20,20,543210,12500,1,1,225,20,205,11.25,0.08888888888888889,214,11,1.181818181818182,1.090909090909091,103,214,1.0,11.25,0.9511111111111111
50,1,25,25,30,2,"0,20",30,30,30,543301,12500,1,1,513,30,483,17.1,0.05847953216374269,480,33,1.0,0.9696969696969697,242,480,1.0,17.1,0.935672514619883
50,1,25,25,30,2,"0,20",30,30,30,543302,12500,1,1,521,30,491,17.36666666666667,0.05758157389635317,491,30,1.066666666666667,1.033333333333333,246,491,1.0,17.366666666666667,0.9424184261036468
50,1,25,25,30,2,"0,20",30,30,30,543303,12500,1,1,273,30,243,9.1,0.1098901098901099,254,19,1.105263157894737,1.052631578947368,122,254,1.0,9.1,0.9304029304029304
50,1,25,25,30,2,"0,20",30,30,30,543304,12500,1,1,511,30,481,17.03333333333333,0.05870841487279843,480,31,1.064516129032258,1.032258064516129,241,480,1.0,17.033333333333335,0.9393346379647749
50,1,25,25,30,2,"0,20",30,30,30,543305,12500,1,1,521,30,491,17.36666666666667,0.05758157389635317,491,30,1.066666666666667,1.033333333333333,246,491,1.0,17.366666666666667,0.9424184261036468
50,1,25,25,30,2,"0,20",30,30,30,543306,12500,1,1,521,30,491,17.36666666666667,0.05758157389635317,491,30,1.066666666666667,1.033333333333333,246,491,1.0,17.366666666666667,0.9424184261036468
50,1,25,25,30,2,"0,20",30,30,30,543307,12500,1,1,513,30,483,17.1,0.05847953216374269,480,33,1.0,0.9696969696969697,242,480,1.0,17.1,0.935672514619883
50,1,25,25,30,2,"0,20",30,30,30,543308,12500,1,1,619,30,589,20.63333333333333,0.04846526655896607,588,31,1.064516129032258,1.032258064516129,295,588,1.0,20.633333333333333,0.9499192245557351
50,1,25,25,30,2,"0,20",30,30,30,543309,12500,1,1,269,30,239,8.966666666666667,0.1115241635687732,254,15,1.133333333333333,1.066666666666667,120,254,1.0,8.966666666666667,0.9442379182156134
50,1,25,25,30,2,"0,20",30,30,30,543310,12500,1,1,513,30,483,17.1,0.05847953216374269,480,33,1.0,0.9696969696969697,242,480,1.0,17.1,0.935672514619883
50,1,25,25,40,3,"0,10",40,40,40,543401,12500,1,1,595,40,555,14.875,0.06722689075630252,567,28,1.071428571428571,1.035714285714286,278,567,1.0,14.875,0.9529411764705882
50,1,25,25,40,3,"0,10",40,40,40,543402,12500,1,1,415,40,375,10.375,0.0963855421686747,391,24,1.083333333333333,1.041666666666667,188,391,1.0,10.375,0.9421686746987952
50,1,25,25,40,3,"0,10",40,40,40,543403,12500,1,1,531,40,491,13.275,0.07532956685499058,501,30,1.066666666666667,1.033333333333333,246,501,1.0,13.275,0.943502824858757
50,1,25,25,40,3,"0,10",40,40,40,543404,12500,1,1,415,40,375,10.375,0.0963855421686747,391,24,1.083333333333333,1.041666666666667,188,391,1.0,10.375,0.9421686746987952
