grid_size,n_search_robots,requested_distance_shell,spawn_position_id,algorithm_seed,target_x,target_y,search_robot_id,search_start_x,search_start_y,initial_distance,time_to_attractive_detection,distance_at_detection,mode_switch_step,found,steps_to_target,time_from_detection_to_target,path_efficiency,post_detection_path_efficiency,convergence_rate,stagnation_count,post_detection_stagnation_count,final_distance
50,1,20,1,543201,25,25,1,6,24,20,463.0,30.0,463.0,1,491.0,28.0,0.04073319755600815,1.0714285714285714,1.0357142857142858,236,0,1
50,1,20,1,543202,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,1,20,1,543203,25,25,1,6,24,20,410.0,19.0,410.0,1,449.0,39.0,0.044543429844097995,0.48717948717948717,0.46153846153846156,215,11,1
50,1,20,1,543204,25,25,1,6,24,20,555.0,32.0,555.0,1,585.0,30.0,0.03418803418803419,1.0666666666666667,1.0333333333333334,283,0,1
50,1,20,1,543205,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,1,20,1,543206,25,25,1,6,24,20,437.0,30.0,437.0,1,465.0,28.0,0.043010752688172046,1.0714285714285714,1.0357142857142858,223,0,1
50,1,20,1,543207,25,25,1,6,24,20,467.0,30.0,467.0,1,495.0,28.0,0.04040404040404041,1.0714285714285714,1.0357142857142858,238,0,1
50,1,20,1,543208,25,25,1,6,24,20,399.0,30.0,399.0,1,427.0,28.0,0.0468384074941452,1.0714285714285714,1.0357142857142858,204,0,1
50,1,20,1,543209,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,1,20,1,543210,25,25,1,6,24,20,214.0,13.0,214.0,1,225.0,11.0,0.08888888888888889,1.1818181818181819,1.0909090909090908,103,0,1
50,1,30,2,543301,25,25,1,0,20,30,480.0,33.0,480.0,1,513.0,33.0,0.05847953216374269,1.0,0.9696969696969697,242,1,1
50,1,30,2,543302,25,25,1,0,20,30,491.0,32.0,491.0,1,521.0,30.0,0.05758157389635317,1.0666666666666667,1.0333333333333334,246,0,1
50,1,30,2,543303,25,25,1,0,20,30,254.0,21.0,254.0,1,273.0,19.0,0.10989010989010989,1.105263157894737,1.0526315789473684,122,0,1
50,1,30,2,543304,25,25,1,0,20,30,480.0,33.0,480.0,1,511.0,31.0,0.05870841487279843,1.064516129032258,1.032258064516129,241,0,1
50,1,30,2,543305,25,25,1,0,20,30,491.0,32.0,491.0,1,521.0,30.0,0.05758157389635317,1.0666666666666667,1.0333333333333334,246,0,1
50,1,30,2,543306,25,25,1,0,20,30,491.0,32.0,491.0,1,521.0,30.0,0.05758157389635317,1.0666666666666667,1.0333333333333334,246,0,1
50,1,30,2,543307,25,25,1,0,20,30,480.0,33.0,480.0,1,513.0,33.0,0.05847953216374269,1.0,0.9696969696969697,242,1,1
50,1,30,2,543308,25,25,1,0,20,30,588.0,33.0,588.0,1,619.0,31.0,0.048465266558966075,1.064516129032258,1.032258064516129,295,0,1
50,1,30,2,543309,25,25,1,0,20,30,254.0,17.0,254.0,1,269.0,15.0,0.11152416356877323,1.1333333333333333,1.0666666666666667,120,0,1
50,1,30,2,543310,25,25,1,0,20,30,480.0,33.0,480.0,1,513.0,33.0,0.05847953216374269,1.0,0.9696969696969697,242,1,1
50,1,40,3,543401,25,25,1,0,10,40,567.0,30.0,567.0,1,595.0,28.0,0.06722689075630252,1.0714285714285714,1.0357142857142858,278,0,1
50,1,40,3,543402,25,25,1,0,10,40,391.0,26.0,391.0,1,415.0,24.0,0.0963855421686747,1.0833333333333333,1.0416666666666667,188,0,1
50,1,40,3,543403,25,25,1,0,10,40,501.0,32.0,501.0,1,531.0,30.0,0.07532956685499058,1.0666666666666667,1.0333333333333334,246,0,1
50,1,40,3,543404,25,25,1,0,10,40,391.0,26.0,391.0,1,415.0,24.0,0.0963855421686747,1.0833333333333333,1.0416666666666667,188,0,1
50,1,40,3,543405,25,25,1,0,10,40,470.0,23.0,470.0,1,491.0,21.0,0.0814663951120163,1.0952380952380953,1.0476190476190477,226,0,1
50,1,40,3,543406,25,25,1,0,10,40,475.0,28.0,475.0,1,503.0,28.0,0.07952286282306163,1.0,0.9642857142857143,232,1,1
50,1,40,3,543407,25,25,1,0,10,40,406.0,27.0,406.0,1,431.0,25.0,0.09280742459396751,1.08,1.04,196,0,1
50,1,40,3,543408,25,25,1,0,10,40,578.0,33.0,578.0,1,609.0,31.0,0.06568144499178982,1.064516129032258,1.032258064516129,285,0,1
50,1,40,3,543409,25,25,1,0,10,40,475.0,28.0,475.0,1,513.0,38.0,0.07797270955165692,0.7368421052631579,0.7105263157894737,237,6,1
50,1,40,3,543410,25,25,1,0,10,40,470.0,23.0,470.0,1,513.0,43.0,0.07797270955165692,0.5348837209302325,0.5116279069767442,237,11,1
50,1,50,4,543501,25,25,1,0,0,50,568.0,33.0,568.0,1,599.0,31.0,0.08347245409015025,1.064516129032258,1.032258064516129,275,0,1
50,1,50,4,543502,25,25,1,0,0,50,537.0,30.0,537.0,1,565.0,28.0,0.08849557522123894,1.0714285714285714,1.0357142857142858,258,0,1
50,1,50,4,543503,25,25,1,0,0,50,570.0,31.0,570.0,1,599.0,29.0,0.08347245409015025,1.0689655172413792,1.0344827586206897,275,0,1
50,1,50,4,543504,25,25,1,0,0,50,570.0,31.0,570.0,1,599.0,29.0,0.08347245409015025,1.0689655172413792,1.0344827586206897,275,0,1
50,1,50,4,543505,25,25,1,0,0,50,568.0,33.0,568.0,1,599.0,31.0,0.08347245409015025,1.064516129032258,1.032258064516129,275,0,1
